name,name:he,highway,lanes
שדרות גולדה מאיר,שדרות גולדה מאיר,primary,3
שיבת ציון,שיבת ציון,tertiary,2
שיבת ציון,שיבת ציון,tertiary,2
סולם יעקב,סולם יעקב,tertiary,1
סולם יעקב,סולם יעקב,tertiary,
הרא''ה,הרוא''ה,tertiary,
יצחק מירסקי,יצחק מירסקי,tertiary,
יצחק מירסקי,יצחק מירסקי,tertiary,
הראה,הרוא'ה,tertiary,
הרוא''ה,הרוא''ה,tertiary,
שיבת ציון,שיבת ציון,tertiary,2
שיבת ציון,שיבת ציון,tertiary,2
שדרות גולדה מאיר,שדרות גולדה מאיר,primary,2
שדרות גולדה מאיר,שדרות גולדה מאיר,primary,2
גולדה מאיר,שדרות גולדה מאיר,primary,2
רקנאטי,רקנאטי,tertiary,
גולדה מאיר,גולדה מאיר,primary,3
לשם,לשם,tertiary,1
המרגלית,המרגלית,tertiary,
שדרות גולדה מאיר,שדרות גולדה מאיר,primary,2
בנימין מינץ,בנימין מינץ,tertiary,1
מירסקי יצחק,מירסקי יצחק,tertiary,
יצחק רבין,יצחק רבין,secondary,4
שדרות גולדה מאיר,שדרות גולדה מאיר,primary,3
יואל זוסמן,יואל זוסמן,tertiary,2
יצחק רבין,יצחק רבין,secondary,2
הרב רפאל קצנלבוגן,הרב רפאל קצנלבוגן,tertiary,
"הפלמ""ח","הפלמ""ח",tertiary,
"הפלמ""ח","הפלמ""ח",tertiary,
הנשיא,הנשיא,tertiary,
הנשיא,הנשיא,tertiary,
שופן,שופן,tertiary,1
שופן,שופן,tertiary,1
הנשיא,הנשיא,tertiary,
הנשיא,הנשיא,tertiary,
הנשיא,הנשיא,tertiary,
הנשיא,הנשיא,tertiary,
"האר""י","האר""י",tertiary,1
הנשיא,הנשיא,tertiary,
טאבאליה,טאבאליה,tertiary,2
הרצל,הרצל,primary,
שדרות וולפסון,שדרות וולפסון,tertiary,2
שדרות וולפסון,שדרות וולפסון,tertiary,2
המוזיאונים,המוזיאונים,tertiary,2
הנשיא השישי,הנשיא השישי,tertiary,2
בן צבי,בן צבי,secondary,
בן צבי,בן צבי,secondary,
שדרות גולדה מאיר,שדרות גולדה מאיר,primary,3
סולם יעקב,סולם יעקב,tertiary,1
שיבת ציון,שיבת ציון,tertiary,2
קהילת יעקב,קהילת יעקב,tertiary,
"חזון אי""ש",חזון איש,tertiary,
"חזון אי""ש",חזון איש,tertiary,
אגרות משה,אגרות משה,tertiary,
האלוף עוזי נרקיס,האלוף עוזי נרקיס,trunk,2
דרך מוסה פלד,דרך מוסה פלד,trunk,
נווה יעקב,שדרות נווה יעקב,tertiary,
הרב וינוגרד,הרב וינוגרד,tertiary,
האלוף עוזי נרקיס,האלוף עוזי נרקיס,trunk,2
גולדה מאיר,גולדה מאיר,primary,3
גולדה מאיר,גולדה מאיר,primary,2
הארי טרומן,הארי טרומן,tertiary,2
שיבת ציון,שיבת ציון,tertiary,2
חברון,חברון,trunk,2
דוד המלך,דוד המלך,tertiary,1
יפו,יפו,trunk,1
דרך אריאל שרון,דרך אריאל שרון,trunk,3
המרפא,המרפא,tertiary,1
לוי אשכול,לוי אשכול,tertiary,2
גולדה מאיר,גולדה מאיר,tertiary,2
גולדה מאיר,גולדה מאיר,secondary,2
שלמה הלוי,שלמה הלוי,tertiary,2
חיים ברלב,חיים ברלב,trunk,2
ששת הימים,ששת הימים,tertiary,2
כיכר משה אורבך,כיכר משה אורבך,tertiary,
כיכר משה אורבך,כיכר משה אורבך,tertiary,
כיכר משה אורבך,כיכר משה אורבך,tertiary,
ששת הימים,ששת הימים,tertiary,
מנחם בגין,מנחם בגין,motorway,4
עטרות,עטרות,tertiary,2
עטרות,עטרות,tertiary,2
מפעלות,מפעלות,tertiary,
שועפט,שועפט,tertiary,3
חיים ברלב,חיים ברלב,trunk,2
גרשון שקד,גרשון שקד,tertiary,
בלפור,בלפור,tertiary,
יצחק רבין,יצחק רבין,secondary,4
גולדה מאיר,גולדה מאיר,primary,3
כיכר משה אורבך,כיכר משה אורבך,tertiary,
כיכר משה אורבך,כיכר משה אורבך,tertiary,
מנחם בגין,מנחם בגין,motorway,2
זלמן שניאור,זלמן שניאור,tertiary,
זלמן שניאור,זלמן שניאור,tertiary,
הרב הרצוג,הרב הרצוג,secondary,3
אליהו מרידור,אליהו מרידור,tertiary,
משה רחמילביץ',משה רחמילביץ',tertiary,
משה רחמילביץ',משה רחמילביץ',tertiary,
חיל האוויר,חיל האוויר,tertiary,
מאיר גרשון,מאיר גרשון,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,
מאיר גרשון,מאיר גרשון,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
חיל האוויר,חיל האוויר,tertiary,
חיל האוויר,חיל האוויר,tertiary,
מאיר גרשון,מאיר גרשון,tertiary,
יוספטל,יוספטל,tertiary,
הרצל,הרצל,primary,2
עין כרם,עין כרם,primary,2
עין כרם,עין כרם,primary,2
עין כרם,עין כרם,primary,1
הפיסגה,הפיסגה,tertiary,2
בית וגן,בית וגן,tertiary,1
בית וגן,בית וגן,tertiary,2
הרצל,הרצל,primary,2
שדרות צ'רצ'יל,שדרות צ'רצ'יל,tertiary,
מרטין בובר,מרטין בובר,tertiary,
יצחק הנדיב,יצחק הנדיב,secondary,
עמק רפאים,עמק רפאים,tertiary,1
עמק רפאים,עמק רפאים,tertiary,1
חיל ההנדסה,חיל ההנדסה,trunk,2
בית לחם,בית לחם,tertiary,2
החלוץ,החלוץ,tertiary,2
הרצל,הרצל,tertiary,3
הרצל,הרצל,tertiary,3
ברנדייס,ברנדייס,tertiary,
יריחו,יריחו,secondary,
מעלה הזיתים,מעלה הזיתים,tertiary,
מעלה הזיתים,מעלה הזיתים,tertiary,
מעלה הזיתים,מעלה הזיתים,tertiary,
רוטשילד,רוטשילד,tertiary,
מלכי ישראל,מלכי ישראל,tertiary,2
הרב דוד רוזנטל,הרב דוד רוזנטל,tertiary,1
קרל נטר,קרל נטר,tertiary,
גבעת משה,גבעת משה,tertiary,2
קלרמון-גנו,קלרמון-גנו,tertiary,2
שועפט,שועפט,tertiary,2
שועפט,שועפט,tertiary,2
גבעת שאול,גבעת שאול,tertiary,
קרית מדע,קרית מדע,tertiary,
המרפא,המרפא,tertiary,1
עקיבא אזולאי,עקיבא אזולאי,tertiary,1
גבעת שאול,גבעת שאול,tertiary,
גבעת שאול,גבעת שאול,tertiary,
גבעת שאול,גבעת שאול,tertiary,
גבעת שאול,גבעת שאול,tertiary,
עקיבא אזולאי,עקיבא אזולאי,tertiary,1
יוסף וייץ,יוסף וייץ,secondary,2
יוסף וייץ,יוסף וייץ,secondary,2
קרית משה,קרית משה,tertiary,1
פרבשטיין,פרבשטיין,tertiary,2
בית הדפוס,בית הדפוס,tertiary,1
פרבשטיין,פרבשטיין,tertiary,2
בית הדפוס,בית הדפוס,tertiary,1
קרית משה,קרית משה,tertiary,1
בית הדפוס,בית הדפוס,tertiary,2
קרית משה,קרית משה,tertiary,1
שמואל בייט,שמואל בייט,tertiary,2
שמעון הצדיק,שמעון הצדיק,tertiary,2
חיים ברלב,חיים ברלב,trunk,2
משה זקס,משה זקס,tertiary,2
"חזון אי""ש",חזון איש,tertiary,
דרוק הרב,דרוק הרב,tertiary,
גבעת משה,גבעת משה,tertiary,
ששת הימים,ששת הימים,tertiary,3
אוהל יהושע,אוהל יהושע,tertiary,2
זית רענן,זית רענן,tertiary,2
הארי טרומן,הארי טרומן,tertiary,
שדרות גולדה מאיר,שדרות גולדה מאיר,primary,3
גולדה מאיר,גולדה מאיר,primary,2
שיבת ציון,שיבת ציון,tertiary,2
אליהו מרידור,אליהו מרידור,tertiary,
כיכר נדב,כיכר נדב,tertiary,
כיכר נדב,כיכר נדב,tertiary,
כיכר עומר,כיכר עומר,tertiary,
כיכר עומר,כיכר עומר,tertiary,
כיכר עומר,כיכר עומר,tertiary,
לוי אשכול,לוי אשכול,tertiary,3
נווה יעקב,שדרות נווה יעקב,tertiary,
ראמאללה,ראמאללה,trunk,2
דרך מוסה פלד,דרך מוסה פלד,trunk,
אליהו קורן,אליהו קורן,tertiary,
יהודה הנשיא,יהודה הנשיא,tertiary,2
כיכר נדב,כיכר נדב,tertiary,
לוחמי הגטאות,לוחמי הגטאות,tertiary,
לוחמי הגטאות,לוחמי הגטאות,tertiary,
לוי אשכול,לוי אשכול,tertiary,2
דניאל ינובסקי,דניאל ינובסקי,tertiary,3
חנוך אלבק,חנוך אלבק,tertiary,
חברון,חברון,trunk,3
דניאל ינובסקי,דניאל ינובסקי,tertiary,3
דניאל ינובסקי,דניאל ינובסקי,tertiary,
חברון,חברון,trunk,2
דניאל ינובסקי,דניאל ינובסקי,tertiary,
יצחק הנדיב,יצחק הנדיב,secondary,
חנוך אלבק,חנוך אלבק,tertiary,
דניאל ינובסקי,דניאל ינובסקי,tertiary,
שלמה הלוי,שלמה הלוי,tertiary,2
שלמה הלוי,שלמה הלוי,tertiary,2
הרב הרצוג,הרב הרצוג,tertiary,1
טשרניחובסקי,טשרניחובסקי,tertiary,
טשרניחובסקי,טשרניחובסקי,tertiary,2
טשרניחובסקי,טשרניחובסקי,tertiary,2
טשרניחובסקי,טשרניחובסקי,tertiary,1
טשרניחובסקי,טשרניחובסקי,tertiary,1
טשרניחובסקי,טשרניחובסקי,tertiary,1
"הפלמ""ח","הפלמ""ח",tertiary,
"הפלמ""ח","הפלמ""ח",tertiary,2
"שדרות ש""י עגנון","שדרות ש""י עגנון",tertiary,1
"הפלמ""ח","הפלמ""ח",tertiary,1
"שדרות ש""י עגנון","שדרות ש""י עגנון",tertiary,1
"שדרות ש""י עגנון","שדרות ש""י עגנון",tertiary,1
"הפלמ""ח","הפלמ""ח",tertiary,1
"הפלמ""ח","הפלמ""ח",tertiary,2
כובשי קטמון,כובשי קטמון,tertiary,2
בוסתנאי,בוסתנאי,tertiary,
חזקיהו המלך,חזקיהו המלך,tertiary,2
הרב הרצוג,הרב הרצוג,secondary,2
הרב הרצוג,הרב הרצוג,secondary,2
שלמה זלמן שרגאי,שלמה זלמן שרגאי,tertiary,2
קלרמון-גנו,קלרמון-גנו,tertiary,1
קלרמון-גנו,קלרמון-גנו,tertiary,1
שלמה זלמן שרגאי,שלמה זלמן שרגאי,tertiary,2
גבעת שאול,גבעת שאול,tertiary,1
דוד בן-גוריון,דוד בן-גוריון,primary,3
דוד בן-גוריון,דוד בן-גוריון,primary,5
שדרות ויצמן,שדרות ויצמן,primary,5
חיים ברלב,חיים ברלב,trunk,3
שדרות ויצמן,שדרות ויצמן,primary,4
דוד המלך,דוד המלך,tertiary,2
המרגלית,המרגלית,tertiary,1
המרגלית,המרגלית,tertiary,1
דוסתאי,דוסתאי,tertiary,1
דוסתאי,דוסתאי,tertiary,1
רבן יוחנן בן זכאי,רבן יוחנן בן זכאי,tertiary,2
יהודה הנשיא,יהודה הנשיא,tertiary,3
השישה עשר,השישה עשר,tertiary,1
השישה עשר,השישה עשר,tertiary,1
השישה עשר,השישה עשר,tertiary,1
השישה עשר,השישה עשר,tertiary,1
ירמיהו,ירמיהו,tertiary,1
ירמיהו,ירמיהו,tertiary,1
ירמיהו,ירמיהו,tertiary,1
ירמיהו,ירמיהו,tertiary,2
ירמיהו,ירמיהו,tertiary,3
ירמיהו,ירמיהו,tertiary,3
ירמיהו,ירמיהו,tertiary,1
ירמיהו,ירמיהו,tertiary,2
ירמיהו,ירמיהו,tertiary,1
ירמיהו,ירמיהו,tertiary,2
אגודת ספורט הפועל,אגודת ספורט הפועל,tertiary,2
פרבשטיין,פרבשטיין,primary,1
הרצל,הרצל,tertiary,2
פרבשטיין,פרבשטיין,primary,1
החלוץ,החלוץ,tertiary,1
כביש אמריקאי דרום,כביש אמריקאי דרום,primary,1
כביש אמריקאי דרום,כביש אמריקאי דרום,primary,1
זרח ורהפטיג,זרח ורהפטיג,tertiary,2
דרך חברון,דרך חברון,secondary,2
בית לחם,בית לחם,tertiary,1
דוד רמז,דוד רמז,tertiary,1
יצחק קריב,יצחק קריב,tertiary,
יפו,יפו,tertiary,1
"האר""י","האר""י",tertiary,1
הנשיא,הנשיא,tertiary,
גבעת שאול,גבעת שאול,tertiary,
גבעת שאול,גבעת שאול,tertiary,
גבעת שאול,גבעת שאול,tertiary,
גבעת שאול,גבעת שאול,tertiary,
לוחמי הגטאות,לוחמי הגטאות,tertiary,1
לוחמי הגטאות,לוחמי הגטאות,tertiary,1
לוחמי הגטאות,לוחמי הגטאות,tertiary,1
לוחמי הגטאות,לוחמי הגטאות,tertiary,2
שדרות שיירת הר הצופים,שדרות שיירת הר הצופים,tertiary,1
שדרות שיירת הר הצופים,שדרות שיירת הר הצופים,tertiary,2
ואדי אל-ג'וז,ואדי אל-ג'וז,secondary,2
ואדי אל-ג'וז,ואדי אל-ג'וז,secondary,2
ואדי אל-ג'וז,ואדי אל-ג'וז,secondary,1
שדרות שיירת הר הצופים,שדרות שיירת הר הצופים,tertiary,1
יצחק הנדיב,יצחק הנדיב,secondary,3
שדרות שיירת הר הצופים,שדרות שיירת הר הצופים,tertiary,1
שדרות שיירת הר הצופים,שדרות שיירת הר הצופים,tertiary,2
שדרות שיירת הר הצופים,שדרות שיירת הר הצופים,tertiary,2
ואדי אל-ג'וז,ואדי אל-ג'וז,secondary,2
יצחק הנדיב,יצחק הנדיב,secondary,2
אגודת ספורט מכבי,אגודת ספורט מכבי,tertiary,2
הכביש האמריקאי,הכביש האמריקאי,primary,2
אגודת ספורט הפועל,אגודת ספורט הפועל,tertiary,3
אגודת ספורט מכבי,אגודת ספורט מכבי,tertiary,1
אגודת ספורט מכבי,אגודת ספורט מכבי,tertiary,1
יהודה הנשיא,יהודה הנשיא,tertiary,2
יהודה הנשיא,יהודה הנשיא,tertiary,2
Al-Nashashibi Street,רחוב אל-נששיבי,tertiary,1
חיים ברלב,חיים ברלב,trunk,2
חיים ברלב,חיים ברלב,trunk,4
ששת הימים,ששת הימים,tertiary,1
ששת הימים,ששת הימים,tertiary,1
ששת הימים,ששת הימים,tertiary,2
ששת הימים,ששת הימים,tertiary,1
לוי אשכול,לוי אשכול,tertiary,3
ששת הימים,ששת הימים,tertiary,1
אהרון קציר,אהרון קציר,tertiary,2
קלרמון-גנו,קלרמון-גנו,tertiary,2
קלרמון-גנו,קלרמון-גנו,tertiary,2
"לח""י","לח""י",tertiary,1
שדרות צ'רצ'יל,שדרות צ'רצ'יל,tertiary,2
אהרון קציר,אהרון קציר,tertiary,1
אהרון קציר,אהרון קציר,tertiary,2
חיים יסקי,חיים יסקי,tertiary,1
שדרות צ'רצ'יל,שדרות צ'רצ'יל,tertiary,1
"לח""י","לח""י",tertiary,2
"האצ""ל","האצ""ל",tertiary,1
חיים יסקי,חיים יסקי,tertiary,1
לוחמי הגטאות,לוחמי הגטאות,tertiary,1
לוחמי הגטאות,לוחמי הגטאות,tertiary,1
"חזון אי""ש",חזון איש,tertiary,
דב יוסף,דב יוסף,secondary,2
דב יוסף,דב יוסף,secondary,3
דב יוסף,דב יוסף,secondary,3
דב יוסף,דב יוסף,secondary,2
דב יוסף,דב יוסף,secondary,2
דב יוסף,דב יוסף,secondary,3
יעקב פת,יעקב פת,secondary,2
דב יוסף,דב יוסף,secondary,2
יעקב פת,יעקב פת,secondary,2
יעקב פת,יעקב פת,secondary,2
כביש המנהרות,כביש המנהרות,trunk,
כביש המנהרות,כביש המנהרות,trunk,
כביש המנהרות,כביש המנהרות,trunk,
כביש המנהרות,כביש המנהרות,trunk,
"המ""ג","המ""ג",tertiary,
"המ""ג","המ""ג",tertiary,1
"המ""ג","המ""ג",tertiary,1
ראשון לציון,ראשון לציון,tertiary,1
ראשון לציון,ראשון לציון,tertiary,1
ראשון לציון,ראשון לציון,tertiary,1
ראשון לציון,ראשון לציון,tertiary,1
"המ""ג","המ""ג",tertiary,
ראשון לציון,ראשון לציון,tertiary,1
"המ""ג","המ""ג",tertiary,1
"המ""ג","המ""ג",tertiary,1
"המ""ג","המ""ג",tertiary,1
"המ""ג","המ""ג",tertiary,2
ראשון לציון,ראשון לציון,tertiary,1
"המ""ג","המ""ג",tertiary,1
פנים מאירות,פנים מאירות,tertiary,
מעלה השלום,מעלה השלום,tertiary,
חטיבת ירושלים,חטיבת ירושלים,trunk,
חטיבת ירושלים,חטיבת ירושלים,trunk,
ירמיהו,ירמיהו,tertiary,2
ירמיהו,ירמיהו,tertiary,1
א.ש. הרטום,א.ש. הרטום,tertiary,2
הרב הרצוג,הרב הרצוג,secondary,3
הרב הרצוג,הרב הרצוג,secondary,2
יצחק אלחנן,יצחק אלחנן,tertiary,
ז'בוטינסקי,ז'בוטינסקי,tertiary,2
אל-משאהד,אל-משאהד,tertiary,2
הנביאים,הנביאים,tertiary,2
יהודה הנשיא,יהודה הנשיא,tertiary,2
יעקב פת,יעקב פת,secondary,2
משה ברזני,משה ברזני,tertiary,
יגאל ידין,יגאל ידין,trunk,3
הכביש האמריקאי,הכביש האמריקאי,primary,2
שמגר,שמגר,tertiary,2
שרי ישראל,שרי ישראל,tertiary,2
פרבשטיין,פרבשטיין,tertiary,2
דב יוסף,דב יוסף,secondary,2
א-זהרה,א-זהרה,tertiary,1
פייר ואן פאסן,פייר ואן פאסן,tertiary,1
חיים ברלב,חיים ברלב,trunk,3
משה זקס,משה זקס,tertiary,2
פייר ואן פאסן,פייר ואן פאסן,tertiary,2
פייר ואן פאסן,פייר ואן פאסן,tertiary,2
חיים ברלב,חיים ברלב,trunk,2
פייר ואן פאסן,פייר ואן פאסן,tertiary,1
פייר ואן פאסן,פייר ואן פאסן,tertiary,1
משה זקס,משה זקס,tertiary,1
משה זקס,משה זקס,tertiary,1
משה זקס,זקס,tertiary,2
חיים ברלב,חיים ברלב,trunk,2
הנביאים,הנביאים,tertiary,2
חיל ההנדסה,חיל ההנדסה,trunk,2
הנביאים,הנביאים,tertiary,2
הנביאים,הנביאים,tertiary,2
חיל ההנדסה,חיל ההנדסה,trunk,2
הצנחנים,הצנחנים,tertiary,1
חיל ההנדסה,חיל ההנדסה,tertiary,2
משה זילברג,משה זילברג,tertiary,
משה זקס,משה זקס,tertiary,1
חברון,חברון,trunk,2
א סאפא,א סאפא,tertiary,1
הרוזמרין,הרוזמרין,trunk,3
בדאיה,בדאיה,tertiary,
אבו רביע,אבו רביע,tertiary,
בדאיה,בדאיה,tertiary,
עטרות,עטרות,tertiary,2
נמל התעופה,נמל התעופה,tertiary,1
נמל התעופה,נמל התעופה,tertiary,1
נמל התעופה,נמל התעופה,tertiary,1
נמל התעופה,נמל התעופה,tertiary,1
ראמאללה,ראמאללה,trunk,1
ראמאללה,ראמאללה,trunk,1
ראמאללה,ראמאללה,trunk,1
ראמאללה,ראמאללה,trunk,1
ראמאללה,ראמאללה,trunk,1
עטרות,עטרות,tertiary,2
עטרות,עטרות,tertiary,2
מפעלות,מפעלות,tertiary,
מפעלות,מפעלות,tertiary,
מפעלות,מפעלות,tertiary,
מפעלות,מפעלות,tertiary,
מפעלות,מפעלות,tertiary,
עטרות,עטרות,tertiary,2
עטרות,עטרות,tertiary,2
עטרות,עטרות,tertiary,2
מפעלות,מפעלות,tertiary,
שכם,שכם,tertiary,
שכם,שכם,tertiary,2
משה דיין,משה דיין,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,
דרך ענתות,דרך ענתות,tertiary,
צור באהר,צור באהר,tertiary,1
צור באהר,צור באהר,tertiary,2
צור באהר,צור באהר,tertiary,
אלמדינה אלמנוורה,אלמדינה אלמנוורה,tertiary,
אלמדינה אלמנוורה,אלמדינה אלמנוורה,tertiary,1
אאל אל-בית,אאל אל-בית,tertiary,1
אאל אל-בית,אאל אל-בית,tertiary,1
צור באהר,צור באהר,tertiary,2
צור באהר,צור באהר,tertiary,1
אל-משאהד,אל-משאהד,tertiary,2
מסעדה,מסעדה,tertiary,2
אל-משאהד,אל-משאהד,tertiary,2
אלמדינה אלמנוורה,אלמדינה אלמנוורה,tertiary,2
הכביש האמריקאי,הכביש האמריקאי,primary,2
אלמדינה אלמנוורה,אלמדינה אלמנוורה,tertiary,1
מנחם בגין,מנחם בגין,motorway,3
מנחם בגין,מנחם בגין,motorway,3
שדרות שמואל מאיר,שדרות שמואל מאיר,tertiary,
דב יוסף,דב יוסף,secondary,2
מנחם בגין,מנחם בגין,motorway,3
מנחם בגין,מנחם בגין,motorway,3
גולדה מאיר,גולדה מאיר,primary,3
גולדה מאיר,גולדה מאיר,primary,5
מנחם בגין,מנחם בגין,motorway,3
אאל אל-בית,אאל אל-בית,tertiary,2
ירושלים,ירושלים,tertiary,
ירושלים,ירושלים,tertiary,
דרך חיזמא-אדם,דרך חיזמא-אדם,primary,1
דרך חיזמא-אדם,דרך חיזמא-אדם,primary,1
דרך חיזמא-אדם,דרך חיזמא-אדם,primary,2
דרך חיזמא-אדם,דרך חיזמא-אדם,primary,2
דרך חיזמא-אדם,דרך חיזמא-אדם,primary,1
דרך חיזמא-אדם,דרך חיזמא-אדם,primary,3
"כי""ח","כי""ח",tertiary,2
"כי""ח","כי""ח",tertiary,2
"כי""ח","כי""ח",tertiary,2
הרב חזקיהו רבין,הרב חזקיהו רבין,tertiary,1
הרב חזקיהו רבין,הרב חזקיהו רבין,tertiary,1
קדיש לוז,קדיש לוז,tertiary,
קדיש לוז,קדיש לוז,tertiary,
קדיש לוז,קדיש לוז,tertiary,
המרגלית,המרגלית,tertiary,1
א-זהרה,א-זהרה,tertiary,2
דב יוסף,דב יוסף,secondary,2
דב יוסף,דב יוסף,secondary,2
הסיגלית,הסיגלית,tertiary,2
א-נבי יונס,א-נבי יונס,tertiary,2
דב יוסף,דב יוסף,secondary,2
הסיגלית,הסיגלית,tertiary,2
א-נבי יונס,א-נבי יונס,tertiary,1
דב יוסף,דב יוסף,secondary,2
"אגודת ספורט בית""ר","אגודת ספורט בית""ר",secondary,4
אל-משיה,אל-משיה,tertiary,2
אל קלעה,אל קלעה,tertiary,
א-סאפא,א-סאפא,tertiary,2
א-נהדה,א-נהדה,tertiary,2
א-תווחיד,א-תווחיד,tertiary,2
אוהל יהושע,אוהל יהושע,tertiary,2
אוהל יהושע,אוהל יהושע,tertiary,1
אוהל יהושע,אוהל יהושע,tertiary,1
שמגר,שמגר,tertiary,2
שמגר,שמגר,tertiary,2
שרי ישראל,שרי ישראל,tertiary,2
מלכי ישראל,מלכי ישראל,tertiary,2
שמגר,שמגר,tertiary,1
מלכי ישראל,מלכי ישראל,tertiary,2
מלכי ישראל,מלכי ישראל,tertiary,2
מלכי ישראל,מלכי ישראל,tertiary,2
שמגר,שמגר,tertiary,2
ירמיהו,ירמיהו,tertiary,2
אוהל יהושע,אוהל יהושע,tertiary,3
דובר שלום,דובר שלום,tertiary,1
שמגר,שמגר,tertiary,2
שמגר,שמגר,tertiary,2
שמגר,שמגר,tertiary,2
מלכי ישראל,מלכי ישראל,tertiary,2
מלכי ישראל,מלכי ישראל,tertiary,2
יצחק קריב,יצחק קריב,tertiary,
דוד המלך,דוד המלך,tertiary,2
דוד המלך,דוד המלך,tertiary,2
דוד המלך,דוד המלך,tertiary,1
ירמיהו,ירמיהו,tertiary,1
ירמיהו,ירמיהו,tertiary,1
ירמיהו,ירמיהו,tertiary,1
ירמיהו,ירמיהו,tertiary,1
שמגר,שמגר,tertiary,2
שמגר,שמגר,tertiary,2
שמגר,שמגר,tertiary,2
ירמיהו,ירמיהו,tertiary,1
ירמיהו,ירמיהו,tertiary,1
ירמיהו,ירמיהו,tertiary,2
א.ש. הרטום,א.ש. הרטום,secondary,2
א.ש. הרטום,א.ש. הרטום,secondary,1
שפע חיים,שפע חיים,tertiary,2
שפע חיים,שפע חיים,tertiary,2
זית רענן,זית רענן,tertiary,1
אוהל יהושע,אוהל יהושע,tertiary,2
שפע חיים,שפע חיים,tertiary,2
שפע חיים,שפע חיים,tertiary,2
שפע חיים,שפע חיים,tertiary,2
שפע חיים,שפע חיים,tertiary,2
שמגר,שמגר,tertiary,2
שמגר,שמגר,tertiary,3
אוהל יהושע,אוהל יהושע,tertiary,3
אוהל יהושע,אוהל יהושע,tertiary,3
אוהל יהושע,אוהל יהושע,tertiary,2
יעקובזון,יעקובזון,tertiary,2
שפע חיים,שפע חיים,tertiary,2
יעקובזון,יעקובזון,tertiary,2
אוהל יהושע,אוהל יהושע,tertiary,2
אוהל יהושע,אוהל יהושע,tertiary,2
גולדה מאיר,גולדה מאיר,secondary,3
א.ש. הרטום,א.ש. הרטום,secondary,2
גולדה מאיר,גולדה מאיר,secondary,2
א.ש. הרטום,א.ש. הרטום,secondary,1
אוהל יהושע,אוהל יהושע,tertiary,2
שפע חיים,שפע חיים,tertiary,2
א.ש. הרטום,א.ש. הרטום,secondary,2
א.ש. הרטום,א.ש. הרטום,secondary,2
אשר וינר,אשר וינר,secondary,3
חווה ארציאלי,חווה ארציאלי,tertiary,1
אשר וינר,אשר וינר,secondary,1
אשר וינר,אשר וינר,secondary,1
דרך חברון,דרך חברון,trunk,2
נעמי,נעמי,tertiary,2
נעמי,נעמי,tertiary,1
נעמי,נעמי,tertiary,1
חברון,חברון,trunk,3
נעמי,נעמי,tertiary,
נעמי,נעמי,tertiary,1
חברון,חברון,trunk,2
נעמי,נעמי,tertiary,1
נעמי,נעמי,tertiary,2
דרך חברון,דרך חברון,trunk,2
חברון,חברון,trunk,2
חנוך אלבק,חנוך אלבק,tertiary,1
חנוך אלבק,חנוך אלבק,tertiary,1
רבקה,רבקה,tertiary,1
רבקה,רבקה,tertiary,2
רבקה,רבקה,tertiary,2
חברון,חברון,trunk,3
שיבת ציון,שיבת ציון,tertiary,2
שיבת ציון,שיבת ציון,tertiary,1
אבא הלל סילבר,אבא הלל סילבר,tertiary,2
אבא הלל סילבר,אבא הלל סילבר,tertiary,2
סולם יעקב,סולם יעקב,tertiary,1
שיבת ציון,שיבת ציון,tertiary,2
שיבת ציון,שיבת ציון,tertiary,2
סולם יעקב,סולם יעקב,tertiary,1
נווה יעקב,שדרות נווה יעקב,tertiary,1
שדרות נווה יעקב,נווה יעקב,tertiary,1
שדרות נווה יעקב,שדרות נווה יעקב,tertiary,1
מרתין לותר קינג,מרתין לותר קינג,tertiary,2
דרך מנהרת הר הצופים,דרך מנהרת הר הצופים,secondary,
שייח ענבר,שייח ענבר,tertiary,
אל חרדוב,אל חרדוב,tertiary,
א-סאפא,א-סאפא,tertiary,2
א-סאפא,א-סאפא,tertiary,2
א-תווחיד,א-תווחיד,tertiary,2
שרפאת,שרפאת,tertiary,2
שרפאת,שרפאת,tertiary,2
א-נבי יונס,א-נבי יונס,tertiary,
א-נבי יונס,א-נבי יונס,tertiary,2
שרפאת,שרפאת,tertiary,2
א-נבי יונס,א-נבי יונס,tertiary,1
אל-ח'לה,אל-ח'לה,tertiary,2
א-תווחיד,א-תווחיד,tertiary,2
א-נהדה,א-נהדה,tertiary,2
א-נהדה,א-נהדה,tertiary,2
א-סאפא,א-סאפא,tertiary,2
דרך חברון,דרך חברון,secondary,2
עטרות,עטרות,tertiary,2
שייח ענבר,שייח ענבר,tertiary,
אל חרדוב,אל חרדוב,tertiary,
דרך בית לחם הישנה,דרך בית לחם הישנה,tertiary,
חנוך אלבק,חנוך אלבק,tertiary,1
חנוך אלבק,חנוך אלבק,tertiary,1
כיכר רמז,כיכר רמז,tertiary,1
בית לחם,בית לחם,tertiary,2
דוד רמז,דוד רמז,tertiary,2
דוד רמז,דוד רמז,tertiary,1
המפקד,המפקד,tertiary,1
המפקד,המפקד,tertiary,2
המפקד,המפקד,tertiary,1
המפקד,המפקד,tertiary,1
דוד רמז,דוד רמז,tertiary,2
